PROJECT,DATE, DESCRIPTION , TYPE ,RECIPT TYPE,RECIPT NUMBER,NO. ITEMS, UNIT COST , TOTAL COST 
ADMIN,1/3/2023,FUEL,Fuels,OR,407037,1,1500,1500
ADMIN,1/3/2023,FUEL,Fuels,OR,100733,1,50,50
ADMIN,1/3/2023,FUEL,Fuels,OR,407222,1,1500,1500
ADMIN,1/3/2023,FUEL,Fuels,OR,100905,1,1000,1000
ADMIN,1/3/2023,FUEL,Fuels,OR,101017,1,1000,1000
ADMIN,1/3/2023,FUEL,Fuels,OR,1321,1,500,500
ADMIN,1/3/2023,FUEL,Fuels,OR,1231,1,1000,1000
ADMIN,1/6/2023,FUEL,Fuels,OR,20262486,1,1000,1000
ADMIN,1/7/2023,FUEL,Fuels,OR,1451446,1,70,70
ADMIN,1/7/2023,FUEL,Fuels,OR,101151,1,100,100
ADMIN,1/8/2023,FUEL,Fuels,OR,101181,1,50,50
ADMIN,1/6/2023,FUEL,Fuels,OR,1201,1,70,70
21047794 (Service Request for Cathode Plate Buffing),1/5/2023,WELDING ROD (2KG),Misc. Operation,VC,,1,350,350
21047794 (Service Request for Cathode Plate Buffing),1/5/2023,MATLANG TANOD,Misc. Operation,VC,,1,500,500
ADMIN,1/5/2023,LUNCH/SNACKS,Misc. Admin,VC,,1,800,800
ADMIN,1/6/2023,DRINKING WATER,Water Utility,OR,6345,48,20,960
ADMIN,1/6/2023,UNREADABLE,Misc. Admin,OR,10025,1,210,210
ADMIN,1/6/2023,NO DESCRIPTION,Misc. Admin,VC,,1,234,234
ADMIN,1/7/2023,LUNCH/SNACKS,Misc. Admin,VC,,1,500,500
ADMIN,1/7/2023,LUNCH/SNACKS,Misc. Admin,VC,,1,70,70
ADMIN,1/10/2023,LUNCH/SNACKS,Misc. Admin,VC,,1,100,100
ADMIN,1/10/2023,LAUNDRY (CURTAINS),Misc. Admin,VC,,1,290,290
ADMIN,1/23/2023,LOAD (BENTOY),Misc. Admin,VC,,1,60,60
ADMIN,1/23/2023,CANTER PAHANGIN,Repair & Maintenance,VC,,1,40,40
ADMIN,1/23/2023,SALLY (LOAD & FARE),Misc. Admin,VC,,1,137,137
ADMIN,1/23/2023,SNACKS,Misc. Admin,VC,,1,100,100
ADMIN,1/7/2023,ELECTRICAL BILL,Power Utility,OR,1001274,1,12163,12163
ADMIN,1/24/2023,CUTTING DISC,Materials,VC,,50,25,1250
21047794 (Service Request for Cathode Plate Buffing),1/24/2023,Y ROPE,Tools and Equip,VC,,1,1500,1500
ADMIN,1/24/2023,SAFETY SHOES,PPE,VC,,1,1300,1300
21047794 (Service Request for Cathode Plate Buffing),1/23/2023,RETRACTABLE LIFELINE,Tools and Equip,VC,,2,4000,8000
ADMIN,1/11/2023,SAFETY SHOES,PPE,VC,,2,1300,2600
ADMIN,1/19/2023,CUTTING DISC,Materials,VC,,45,25,1125
ADMIN,1/17/2023,TIG GLOVES,PPE,VC,,2,150,300
ADMIN,1/17/2023,CARTRIDGE,PPE,VC,,1,80,80
ADMIN,1/17/2023,CUTTING TIP,Tools and Equip,VC,,5,420,2100
ADMIN,1/17/2023,CUTTING TIP,Tools and Equip,VC,,2,300,600
ADMIN,1/17/2023,CUTTING DISC,Materials,VC,,69,30,2070
21047794 (Service Request for Cathode Plate Buffing),1/17/2023,BUFFING DISC,Materials,VC,,20,30,600
ADMIN,1/13/2023,CUTTING DISC,Materials,VC,,80,20,1600
ADMIN,1/5/2023,SACKO BAG,Misc. Admin,VC,,5,160,800
ADMIN,1/7/2023,WORKING GLOVES,PPE,VC,,45,120,5400
ADMIN,1/7/2023,WELDING APPAREL (COMPLETE SET),PPE,VC,,12,700,8400
ADMIN,1/7/2023,SAFETY SHOES,PPE,VC,,3,1300,3900
ADMIN,1/7/2023,SAFETY SHOES,PPE,VC,,1,1300,1300
ADMIN,1/7/2023,TIG GLOVES,PPE,VC,,11,150,1650
ADMIN,1/7/2023,ELECTRIC GLOVES,PPE,VC,,3,150,450
ADMIN,1/7/2023,WORKING GLOVES,PPE,VC,,3,100,300
ADMIN,1/7/2023,WORKING GLOVES,PPE,VC,,23,100,2300
ADMIN,1/9/2023,WORKING GLOVES,PPE,VC,,2,110,220
ADMIN,1/9/2023,FILTER,PPE,VC,,11,70,770
ADMIN,1/9/2023,SAFETY SHOES,PPE,VC,,5,1300,6500
ADMIN,1/12/2023,SAFETY SHOES,PPE,VC,,2,1300,2600
ADMIN,1/12/2023,SAFETY GLOVES,PPE,VC,,28,110,3080
ADMIN,1/4/2023,USB,Office Supply,OR,34269,1,290,290
ADMIN,1/4/2023,WHITE BOARD MARKER,Office Supply,OR,5052,1,211,211
ADMIN,1/3/2023,FRAMES FOR DOCUMENTS,Office Supply,OR,395248,7,115,805
ADMIN,1/3/2023,PLANGANA,Office Supply,OR,1301,1,125,125
ADMIN,1/4/2023,STICKER AND ID SLING,Office Supply,OR,493,1,300,300
ADMIN,1/3/2023,PVC ID,Office Supply,OR,313,23,100,2300
ADMIN,1/3/2023,MISC SUPPLY,Office Supply,OR,396962,1,245,245
ADMIN,1/9/2023,FOLDERS ETC.,Office Supply,OR,12882,1,360,360
ADMIN,1/9/2023,STICKER AND ID LACE ,Office Supply,OR,474,1,1280,1280
ADMIN,1/7/2023,SALLY 13TH MONTH,Labor,VC,,1,16900,16900
ADMIN,1/3/2023,PROJECT OUTING,Misc. Admin,VC,,1,2500,2500
ADMIN,1/13/2023,STEVE SALARY,Labor,VC,,1,1000,1000
ADMIN,1/13/2023,PABLO SALARY,Labor,VC,,1,1000,1000
ADMIN,1/7/2023,PABLO SALARY,Labor,VC,,1,1400,1400
ADMIN,1/7/2023,STEVE SALARY,Labor,VC,,1,1200,1200
ADMIN,1/17/2023,MATLANG TEMPFACIL RENTAL,Rental,VC,,1,5000,5000
ADMIN,1/17/2023,BILWANG TEMPFACIL RENTAL (DECEMBER 2022 AND JAN. 2023),Rental,VC,,1,4070,4070
ADMIN,1/18/2023,BRGY. CLEARANCE,Misc. Admin,VC,,1,60,60
ADMIN,1/11/2023,COUNTRY BAKER INSURANCE (STAFF),Insurance,OR,1662932,1,2468,2468
21047794 (Service Request for Cathode Plate Buffing),1/11/2023,COUNTRY BAKER INSURANCE,Insurance,OR,1662932,1,2098,2098
ADMIN,1/17/2023,ASBELT DRAWING (LABOR),Labor,VC,,1,4000,4000
ADMIN,1/3/2023,WELDING ROD,Materials,OR,9801,2,95,190
ADMIN,1/4/2023,UNREADABLE,Materials,OR,71,1,3550,3550
ADMIN,1/4/2023,"MISC MATERIALS (GI, METAL SCREW, VULCASEAL)",Materials,OR,12412,1,22295,22295
ADMIN,1/4/2023,ASSORTED ELECTRICAL MATERIALS,Materials,OR,16240,1,1620,1620
ADMIN,1/5/2023,PAINTING MATERIALS,Materials,OR,16255,1,3596,3596
ADMIN,1/5/2023,TIRE WIRE,Materials,OR,,1,90,90
ADMIN,1/5/2023,TRAPAL,Tools and Equip,OR,10376,20,85,1700
ADMIN,1/5/2023,LOAD,Misc. Admin,VC,,1,60,60
ADMIN,1/6/2023,WELDING ROD,Materials,OR,5062,2,175,350
ADMIN,1/6/2023,DARK AND CLEAR GLASS,PPE,OR,5061,4,25,100
ADMIN,1/6/2023,CANTER/BUS VULCATE,Repair & Maintenance,OR,10559,1,400,400
ADMIN,1/6/2023,TIME OUT,Materials,OR,12426,1,195,195
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,WOOD,Materials,OR,33245,1,480,480
ADMIN,1/7/2023,CANTER/BUS PARTS,Repair & Maintenance,OR,,1,1360,1360
ADMIN,1/9/2023,TEKSCREW ADAPTOR,Materials,OR,5081,2,72,144
21047794 (Service Request for Cathode Plate Buffing),1/9/2023,STAINLESS WELDING ROD,Materials,OR,23664,24,25,600
21047794 (Service Request for Cathode Plate Buffing),1/9/2023,WELDING ROD,Materials,OR,5080,2,175,350
21047794 (Service Request for Cathode Plate Buffing),1/9/2023,PAINT PRIMER,Materials,OR,16299,1,893,893
21047794 (Service Request for Cathode Plate Buffing),1/10/2023,CUT OFF BLADE,Tools and Equip,OR,12484,2,320,640
ADMIN,1/10/2023,ELECTRICAL TAPE,Materials,OR,,2,40,80
ADMIN,1/11/2023,3LBS BN,Materials,OR,1662,1,700,700
21047794 (Service Request for Cathode Plate Buffing),1/11/2023,DRILL BIT,Tools and Equip,OR,12494,1,198,198
21047794 (Service Request for Cathode Plate Buffing),1/12/2023,THINNER PAINT,Materials,OR,33286,4,60,240
ADMIN,1/12/2023,FUEL,Fuels,OR,101239,1,50,50
ADMIN,1/12/2023,METAL SCREW,Materials,OR,12503,200,1.5,300
ADMIN,1/12/2023,PAINT,Materials,OR,12500,2,405,810
ADMIN,1/12/2023,PAINT BRUSH,Materials,OR,,1,40,40
ADMIN,1/13/2023,WELDING ROD,Materials,OR,5106,3,175,525
ADMIN,1/13/2023,CANTER/BUS PARTS,Repair & Maintenance,OR,22946,1,440,440
21047794 (Service Request for Cathode Plate Buffing),1/13/2023,PLYWOOD AND MISC MATERIALS,Materials,OR,12511,1,2385,2385
ADMIN,1/6/2023,FOOD ORMOC BUDGET,Misc. Admin,OR,190231,1,453,453
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,KNEE PAD,PPE,OR,1104,7,395,2765
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,KNEE PAD,PPE,OR,1104,2,270,540
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,SCOURING PAD,Materials,OR,1104,5,46,230
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,BUFFING DISC,Materials,OR,1104,31,23,713
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,BUFFING PAD,Materials,OR,87276,5,259,1295
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,SCOURING PAD,Materials,OR,87276,3,109,327
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,SCOURING PAD,Materials,OR,87276,3,74,222
21047794 (Service Request for Cathode Plate Buffing),1/6/2023,SCOURING PAD,Materials,OR,87276,17,65,1105
ADMIN,1/18/2023,"SOAP, NYLON, LOAD",Materials,VC,,1,160,160
ADMIN,1/12/2023,FUEL,Fuels,OR,101344,1,100,100
ADMIN,1/17/2023,FUEL,Fuels,OR,101331,1,50,50
ADMIN,1/17/2023,TIRE WIRE,Materials,OR,,3,90,270
21047794 (Service Request for Cathode Plate Buffing),1/17/2023,MISC MATERIALS,Materials,OR,16388,1,2755,2755
21047794 (Service Request for Cathode Plate Buffing),1/18/2023,WELDING ROD,Materials,OR,5129,1,324,324
21047794 (Service Request for Cathode Plate Buffing),1/18/2023,TRAPAL,Materials,OR,14315,20,85,1700
21047794 (Service Request for Cathode Plate Buffing),1/18/2023,KABO,Materials,OR,14315,2,20,40
21047794 (Service Request for Cathode Plate Buffing),1/23/2023,PAINT MATERIALS,Materials,OR,16472,1,819,819
21047794 (Service Request for Cathode Plate Buffing),1/23/2023,MATERIALS FOR RACKS,Materials,OR,16471,1,5203,5203
21047794 (Service Request for Cathode Plate Buffing),1/19/2023,BUFFING DISC,Materials,VC,,20,25,500
ADMIN,1/24/2023,WD40,Materials,OR,10400,1,225,225
ADMIN,1/1/2023,DEC. 25 - JAN. 1 (OVERHEAD),Overhead payroll,,,1,24005.5,24005.5
ADMIN,1/1/2023,DEC. 25 - JAN. 1 (TEMPFACIL),Labor,,,1,19067.53,19067.53
ADMIN,1/1/2023,DEC. 25 - JAN. 1 (OFFICE STAFF),Overhead payroll,,,1,2600,2600
ADMIN,1/14/2023,JANUARY 2 - 8 (OVERHEAD),Overhead payroll,,,1,39306.63,39306.63
ADMIN,1/14/2023,JANUARY 2 - 8 (OFFICE STAFF),Overhead payroll,,,1,2000,2000
ADMIN,1/14/2023,JANUARY 2 - 8 (SAKI),Overhead payroll,,,1,15600,15600
21047794 (Service Request for Cathode Plate Buffing),1/14/2023,JANUARY 2 - 8 ,Labor,,,1,28943.73,28943.73
21047794 (Service Request for Cathode Plate Buffing),1/21/2023,JANUARY 9 - 15,Labor,,,1,39212.83,39212.83
ADMIN,1/21/2023,JANUARY 9 - 15 (OVERHEAD),Overhead payroll,,,1,28969.77,28969.77
ADMIN,1/21/2023,JANUARY 9 - 15 (OFFICE STAFF),Overhead payroll,,,1,2000,2000
ADMIN,1/28/2023,JANUARY 16 - 22 (OFFICE STAFF),Overhead payroll,,,1,1900,1900
ADMIN,1/28/2023,JANUARY 16 - 22 (OVERHEAD),Overhead payroll,,,1,31455.81,31455.81
ADMIN,1/28/2023,JANUARY 16 - 22 (SAKI),Overhead payroll,,,1,18200,18200
ADMIN,1/7/2023,DEC. 25 - JAN. 1 (ADJUSTMENTS),Overhead payroll,,,1,1765,1765
ADMIN,1/14/2023,JANUARY 2 - 8 (ADJUSTMENTS),Overhead payroll,,,1,2400,2400
ADMIN,1/14/2023,JANUARY 16 - 22 (ADJUSTMENTS),Overhead payroll,,,1,616,616
ADMIN,2/4/2023,"PAYROLL JANUARY 23 - 29, 2023 (OVERHEAD)",Overhead payroll,,,1,37279.57,37279.57
21047794 (Service Request for Cathode Plate Buffing),2/4/2023,"PAYROLL JANUARY 23 - 29, 2023 ",Labor,,,1,70249.07,70249.07
ADMIN,2/2/2023,LUNCH,Misc. Admin,VC,,1,310,310
ADMIN,2/2/2023,HEAT SHRINKING TUBE,PPE,VC,,1,523,523
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,WELDING ROD,Materials,OR,12714,1,425,425
ADMIN,2/3/2023,DOCUMENT NOTARY,Office Supply,OR,14350,1,500,500
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,MATERIALS FOR CATHODE PLATE POLISHING,Materials,OR,58083,1,271,271
ADMIN,2/3/2023,FARE & LUNCH,Misc. Admin,VC,,1,102,102
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,MAKITA GRINDER,Tools and Equip,OR,402352,3,3800,11400
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,SANDING PAD,Materials,OR,402352,10,70,700
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,CANTEER TIRE,Materials,VC,,1,1400,1400
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,SCOURING PAD,Materials,OR,12635,500,42,21000
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,SCOURING PAD,PPE,OR,12635,3,375,1125
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,CUTOFF WHEEL,Materials,OR,462137,4,241.5,966
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,CARBON BRUSH,Materials,OR,462137,5,246.93,1234.65
ADMIN,2/4/2023,CANTEER/BUS BLINKER BULB,Repair & Maintenance,VC,,1,30,30
ADMIN,2/4/2023,COR UPDATE,Misc. Admin,VC,,1,1500,1500
ADMIN,2/4/2023,KITCHEN WARE,Materials,OR,18494,1,860,860
ADMIN,2/4/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,750,750
ADMIN,2/4/2023,3 LBS BRAND NEW,Materials,VC,,1,700,700
ADMIN,2/4/2023,VEHICLE PASS,Misc. Operation,VC,,1,30,30
ADMIN,2/4/2023,FARE,Misc. Admin,VC,,1,138,138
21047794 (Service Request for Cathode Plate Buffing),2/4/2023,WATCHMAN WAGE,Labor,VC,,1,300,300
21047794 (Service Request for Cathode Plate Buffing),2/4/2023,PAYROLL ADJUSTMENT,Labor,VC,,1,691.88,691.88
ADMIN,2/4/2023,RITA LABOR,Overhead payroll,VC,,1,300,300
21047794 (Service Request for Cathode Plate Buffing),2/4/2023,PAYROLL JANUARY 23 - 29 (WATCHMAN),Labor,VC,,1,1500,1500
ADMIN,2/4/2023,WELDING ROD,Materials,VC,,4,700,2800
ADMIN,2/4/2023,OFFICE SUPPLY,Materials,OR,5168,1,4860,4860
ADMIN,2/4/2023,LANDFILL (TEMPFACIL),Misc. Admin,VC,,1,1500,1500
ADMIN,2/4/2023,SANDBLASTING LABOR,Misc. Admin,VC,,1,70000,70000
ADMIN,2/4/2023,GYPSUM SCREW,Materials,VC,,100,1,100
ADMIN,2/6/2023,SACK BAG,Office Supply,VC,,1,300,300
ADMIN,2/6/2023,LOAD BUDGET,Misc. Admin,VC,,1,20,20
ADMIN,2/6/2023,FUEL,Fuels,VC,,1,150,150
ADMIN,2/6/2023,STICKER,Repair & Maintenance,OR,572,1,200,200
21047794 (Service Request for Cathode Plate Buffing),2/6/2023,RUGBY,Materials,OR,58107,1,35,35
21047794 (Service Request for Cathode Plate Buffing),2/6/2023,ECOBAG,Materials,OR,12421,1,80,80
21047794 (Service Request for Cathode Plate Buffing),2/6/2023,MAGIC TAPE,Materials,OR,34696,7,25,175
ADMIN,2/7/2023,FLAPS,Repair & Maintenance,OR,16717,1,250,250
ADMIN,2/7/2023,CHANGE TIRE AND VULCANIZE,Repair & Maintenance,OR,10686,1,450,450
21047794 (Service Request for Cathode Plate Buffing),2/7/2023,MATERIALS FOR CATHODE RACK,Materials,OR,16715,1,1915,1915
21047794 (Service Request for Cathode Plate Buffing),2/7/2023,BUFFING PAD,Materials,VC,,1,300,300
21047794 (Service Request for Cathode Plate Buffing),2/8/2023,MISC MATERIALS,Materials,OR,16726,1,500,500
21047794 (Service Request for Cathode Plate Buffing),2/8/2023,OFFICE STAFF LUNCH,Misc. Operation,VC,,1,500,500
ADMIN,2/8/2023,HELMET STRAP,PPE,VC,,1,273,273
ADMIN,2/8/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,375,375
ADMIN,2/8/2023,SOIL PILING LABOR,Misc. Operation,VC,,1,4000,4000
21047794 (Service Request for Cathode Plate Buffing),2/9/2023,RETRACTABLE LIFELINE,PPE,VC,,2,4000,8000
21047794 (Service Request for Cathode Plate Buffing),2/9/2023,RUGBY,Materials,OR,16744,1,75,75
ADMIN,2/9/2023,KIA REPAIR,Repair & Maintenance,VC,,1,1000,1000
ADMIN,2/9/2023,DRINKING WATER,Water Utility,OR,6392,35,20,700
ADMIN,2/9/2023,LOAD BUDGET,Misc. Operation,VC,,1,60,60
ADMIN,2/9/2023,AFFIDAVIT OF LOSS,Misc. Admin,VC,,1,400,400
ADMIN,2/9/2023,SAFETY SHIRT PRINTING,PPE,VC,,1,4700,4700
21047794 (Service Request for Cathode Plate Buffing),2/10/2023,MISC MATERIALS,Materials,OR,12800,1,265,265
21047794 (Service Request for Cathode Plate Buffing),2/10/2023,MISC MATERIALS,Materials,OR,16766,1,100,100
21047794 (Service Request for Cathode Plate Buffing),2/10/2023,MISC MATERIALS,Materials,OR,127,4,80,320
ADMIN,2/10/2023,PIONEER INSURANCE,Insurance,VC,,1,4687,4687
ADMIN,2/11/2023,MISC PPE,PPE,VC,,1,8270,8270
21047794 (Service Request for Cathode Plate Buffing),2/11/2023,MAGIC TAPE,Materials,VC,,1,950,950
ADMIN,2/11/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,800,800
ADMIN,2/11/2023,SNACK,Misc. Admin,VC,,1,50,50
21047794 (Service Request for Cathode Plate Buffing),2/11/2023,"PAYROLL JAN 30 - FEB 5, 2023 WATCHMAN",Labor,VC,,1,2100,2100
ADMIN,2/14/2023,GATEPASS,Misc. Operation,VC,,1,70,70
21047794 (Service Request for Cathode Plate Buffing),2/10/2023,MISC MATERIALS,Materials,OR,100037784,1,3789.5,3789.5
21047794 (Service Request for Cathode Plate Buffing),1/28/2023,"PAYROLL JANUARY 16 - 22, 2023",Labor,,,1,36940.26,36940.26
21047794 (Service Request for Cathode Plate Buffing),2/11/2023,"PAYROLL JANUARY 30 - FEB. 5, 2023",Labor,,,1,91392.42,91392.42
ADMIN,2/11/2023,"PAYROLL JANUARY 30 - FEB. 5, 2023 (OVERHEAD)",Overhead payroll,,,1,45915.24,45915.24
21047794 (Service Request for Cathode Plate Buffing),2/11/2023,"PAYROLL JANUARY 30 - FEB. 5, 2023 (BUFFERS)",Labor,,,1,8030,8030
ADMIN,2/11/2023,"PAYROLL JANUARY 30 - FEB. 5, 2023 (OFFICE STAFF)",Overhead payroll,,,1,2800,2800
ADMIN,2/11/2023,"PAYROLL JANUARY 30 - FEB. 5, 2023 (SAKI)",Overhead payroll,,,1,16900,16900
ADMIN,2/16/2023,VULCATE (BUS/CANTER),Repair & Maintenance,OR,10722,1,650,650
ADMIN,2/16/2023,TEMPFACIL RENTAL (MATLANG),Rental,VC,,1,5000,5000
ADMIN,2/16/2023,CARBON BRUSH,Tools and Equip,OR,530-653901,1,262,262
ADMIN,2/16/2023,AIR (BUS/CANTER),Repair & Maintenance,OR,9798,1,50,50
ADMIN,2/16/2023,ELECTRICAL TAPE AND WIRE,Materials,VC,,1,202,202
21047794 (Service Request for Cathode Plate Buffing),2/16/2023,DINNER,Misc. Operation,VC,,1,400,400
ADMIN,2/17/2023,SOIL PILING,Misc. Admin,VC,,1,1000,1000
ADMIN,2/17/2023,VULCANIZE (BUS/CANTER),Repair & Maintenance,OR,10727,1,650,650
ADMIN,2/17/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,500,500
21047794 (Service Request for Cathode Plate Buffing),2/17/2023,DINNER,Misc. Operation,VC,,1,450,450
ADMIN,2/17/2023,CHALKS STONE,Materials,OR,178061,12,8,96
ADMIN,2/18/2023,RAINCOAT,PPE,OR,16345,1,380,380
ADMIN,2/18/2023,RAINCOAT,PPE,OR,16345,5,320,1600
21047794 (Service Request for Cathode Plate Buffing),2/18/2023,DINNER,Misc. Operation,VC,,1,250,250
ADMIN,2/18/2023,FARE (BAUYON),Misc. Admin,VC,,1,138,138
